Generation: 0
false | 14 | 49, 16, 32, 2
strip | 1000 | 1, 48, 48, 85
strip | 3924 | 70, 39, 6, 2
print | 21955 | 55, 30, 23, 5
decay | 24157 | 68, 99, 67, 11
opera | 49700 | 27, 86, 83, 12
agony | 875137 | 70, 86, 49, 11
forge | 1493252 | 8, 48, 45, 36
Venus | 2982856 | 80, 85, 78, 24
decay | 5334736 | 48, 16, 97, 76
patch | 5613115 | 45, 23, 6, 67
utter | 8433224 | 97, 77, 49, 40
trick | 8816963 | 39, 93, 11, 47
lover | 9437504 | 25, 32, 89, 24
thumb | 9766526 | 81, 34, 56, 86
lover | 10754845 | 77, 100, 21, 41
agony | 11181160 | 39, 82, 66, 20
range | 13607080 | 10, 34, 99, 60
clean | 16398436 | 80, 69, 39, 93
beard | 18183272 | 35, 46, 60, 64
agony | 21044024 | 79, 32, 3, 16
cheek | 21510757 | 64, 19, 44, 57
Venus | 22168705 | 79, 59, 44, 21
rebel | 23085160 | 45, 79, 94, 80
false | 14 | 49, 16, 32, 2
strip | 1000 | 1, 48, 48, 85
strip | 3924 | 70, 39, 6, 2
print | 21955 | 55, 30, 23, 5
decay | 24157 | 68, 99, 67, 11
opera | 49700 | 27, 86, 83, 12
agony | 875137 | 70, 86, 49, 11
forge | 1493252 | 8, 48, 45, 36
Venus | 2982856 | 80, 85, 78, 24
decay | 5334736 | 48, 16, 97, 76
patch | 5613115 | 45, 23, 6, 67
utter | 8433224 | 97, 77, 49, 40
trick | 8816963 | 39, 93, 11, 47
lover | 9437504 | 25, 32, 89, 24
thumb | 9766526 | 81, 34, 56, 86
lover | 10754845 | 77, 100, 21, 41
agony | 11181160 | 39, 82, 66, 20
range | 13607080 | 10, 34, 99, 60
clean | 16398436 | 80, 69, 39, 93
beard | 18183272 | 35, 46, 60, 64
agony | 21044024 | 79, 32, 3, 16
cheek | 21510757 | 64, 19, 44, 57
Venus | 22168705 | 79, 59, 44, 21
rebel | 23085160 | 45, 79, 94, 80
Generation: 1
false | 14 | 49, 16, 32, 2
false | 14 | 49, 16, 32, 2
strip | 1000 | 1, 48, 48, 85
strip | 1000 | 1, 48, 48, 85
strip | 3924 | 70, 39, 6, 2
strip | 3924 | 70, 39, 6, 2
print | 21955 | 55, 30, 23, 5
